Time, Click
03:53:02,1
03:53:03,1
03:53:05,1
03:53:06,1
03:53:07,1
03:53:07,1
03:53:08,1
03:53:16,1
03:53:17,1
03:53:33,1
03:53:33,1
03:53:34,1
03:53:35,1
03:54:11,1
03:54:11,1
03:54:12,1
03:54:12,1
03:54:20,1
03:54:21,1
03:54:27,1
03:54:27,1
03:54:34,1
03:54:34,1
03:54:39,1
03:54:39,1
03:54:39,1
03:54:42,1
03:54:43,1
03:54:46,1
03:54:46,1
03:55:14,1
03:55:14,1
03:55:19,1
03:55:20,1
03:55:20,1
03:55:21,1
03:55:25,1
03:55:25,1
03:55:26,1
03:55:31,1
03:55:34,1
03:55:43,1
03:55:43,1
03:55:43,1
03:55:50,1
03:55:52,1
03:55:52,1
03:55:53,1
03:55:53,1
03:55:53,1
03:56:17,1
03:56:17,1
03:56:17,1
03:56:23,1
03:56:24,1
03:56:27,1
03:56:27,1
03:56:30,1
03:56:34,1
03:56:34,1
03:56:39,1
03:56:39,1
03:56:45,1
03:56:45,1
03:56:45,1
03:56:52,1
03:56:53,1
03:56:53,1
03:56:57,1
03:56:58,1
03:56:59,1
03:56:59,1
03:57:02,1
03:57:03,1
03:57:03,1
03:57:03,1
03:57:03,1
03:57:33,1
03:57:33,1
03:57:34,1
03:57:34,1
03:57:38,1
03:57:39,1
03:57:39,1
03:57:39,1
03:57:47,1
03:57:48,1
03:57:49,1
03:57:56,1
03:57:57,1
03:57:57,1
03:57:58,1
03:57:59,1
03:58:02,1
03:58:03,1
03:58:04,1
03:58:04,1
03:58:04,1
03:58:09,1
03:58:09,1
03:58:10,1
03:58:10,1
03:58:10,1
03:58:11,1
03:58:11,1
03:58:12,1
03:58:13,1
03:58:13,1
03:58:36,1
03:58:36,1
03:58:37,1
03:58:37,1
03:58:39,1
03:58:40,1
03:58:44,1
03:58:45,1
03:58:47,1
03:58:52,1
03:58:52,1
03:58:53,1
03:58:53,1
03:58:56,1
03:58:57,1
03:58:57,1
03:59:00,1
03:59:00,1
03:59:00,1
03:59:00,1
03:59:01,1
03:59:08,1
03:59:08,1
03:59:08,1
03:59:08,1
03:59:16,1
03:59:18,1
03:59:54,1
03:59:59,1
03:59:59,1
03:59:59,1
04:00:01,1
04:00:03,1
04:00:06,1
04:00:06,1
04:00:06,1
04:00:11,1
04:00:11,1
04:00:11,1
04:00:26,0
04:00:26,0
04:00:27,0
04:00:27,0
04:00:28,0
04:00:56,1
04:00:56,1
04:00:58,1
04:00:58,1
04:00:59,1
04:01:00,1
04:01:04,1
04:01:04,1
04:01:09,1
04:01:09,1
04:01:09,1
04:01:09,1
04:01:18,1
04:01:19,1
04:01:19,1
04:01:19,1
04:01:33,1
04:01:34,1
04:01:34,1
04:01:37,0
04:01:38,0
04:01:38,0
04:01:39,0
04:01:40,0
04:01:41,0
04:02:09,1
04:02:10,1
04:02:11,1
04:02:11,1
04:02:14,1
04:02:14,1
04:02:15,1
04:02:15,1
04:02:19,1
04:02:20,1
04:02:20,1
04:02:24,1
04:02:24,1
04:02:30,0
04:02:30,0
04:02:31,0
04:02:32,0
04:02:35,0
04:02:35,0
04:02:40,0
04:02:40,0
04:02:46,0
04:02:47,0
04:02:47,0
04:03:20,1
04:03:21,1
04:03:23,1
04:03:23,1
04:03:23,1
04:03:25,1
04:03:25,1
04:03:26,1
04:03:31,1
04:03:32,1
04:03:32,1
04:03:42,0
04:03:42,0
04:03:43,0
04:03:43,0
04:03:47,0
04:03:48,0
04:03:48,0
04:03:52,0
04:03:52,0
04:03:55,0
04:03:55,0
04:03:55,0
04:03:58,0
04:03:58,0
04:03:58,0
04:05:09,0
04:05:38,0
04:05:39,0
04:05:40,0
04:05:41,1
04:05:47,0
04:05:47,0
04:05:48,0
04:05:49,0
04:05:49,0
04:06:09,0
04:06:10,0
04:06:10,0
04:06:12,0
04:06:12,0
04:06:12,0
04:06:15,0
04:06:15,0
04:06:44,1
04:06:44,1
04:06:51,0
04:06:51,0
04:06:52,0
04:06:55,0
04:06:55,0
04:07:00,0
04:07:00,0
04:07:00,0
04:07:03,0
04:07:10,0
04:07:11,0
04:07:21,0
04:07:21,0
04:07:21,0
04:07:24,0
04:07:24,0
